**** OLS ****

Terrain cut 4


polynomial = 28 
lambda = 0


Parameters with uncertainties
-49197.450195  +/-  14530676.001756
-56505.740723  +/-  17444822.700219
9432.501465  +/-  13629867.438373
-21890.489014  +/-  22125814.464906
83701.642578  +/-  19863453.683587
-214955.020264  +/-  27797606.138505
-76590.580566  +/-  23104752.065647
40331.119873  +/-  17470729.286379
260494.13623  +/-  20259995.088133
-103850.965332  +/-  17122634.530868
-493469.71582  +/-  19486990.761814
-192363.587158  +/-  16874330.911999
148509.183594  +/-  19013203.848148
399760.360352  +/-  30089874.478298
-159818.47168  +/-  25225340.244498
-500411.113281  +/-  22588402.004738
-474753.958008  +/-  23246402.079886
-618447.878418  +/-  20474096.357992
-757058.524414  +/-  20784730.30988
-624356.157227  +/-  18965648.994488
-261825.691162  +/-  15975822.612009
82719.443359  +/-  19510166.046274
203610.07959  +/-  19551975.656256
99482.868164  +/-  15958578.983637
-28674.694336  +/-  18980791.046613
-17559.27832  +/-  20822034.95295
30803.469727  +/-  20375598.217465
-52530.126953  +/-  23208964.59921
-21475.860352  +/-  22566741.698431
-354702.625977  +/-  25220370.357431
-121412.390137  +/-  30094989.11866
27710.541748  +/-  19038948.679149
207266.62915  +/-  16850581.732529
-86091.719849  +/-  19610613.020078
-361258.51709  +/-  11475793.879439
63014.500488  +/-  9416215.742399
-27565.586914  +/-  18675478.044169
194406.036621  +/-  29706087.78358
-125799.140137  +/-  19601257.390312
-459127.053223  +/-  23540812.035515
-270141.441895  +/-  17838177.521326
-343419.599609  +/-  19014103.946127
-602142.082031  +/-  18337859.766544
-673858.006836  +/-  17982046.540164
-453118.621582  +/-  13984658.576534
-101974.304688  +/-  15069081.654215
146574.634766  +/-  17805195.972779
169796.396484  +/-  15137529.603962
35136.775391  +/-  13839730.322824
-60305.517578  +/-  18028836.7702
-6189.297363  +/-  18261780.551825
51253.602051  +/-  18940558.14307
-53723.480957  +/-  17850386.026947
-36294.592773  +/-  23536131.129076
-349339.98584  +/-  19646592.395479
-83345.398926  +/-  29733451.09282
15384.916992  +/-  18755272.290074
51019.111053  +/-  9323297.743064
-24893.662598  +/-  11452073.638422
28560.445312  +/-  7170358.757689
334508.741211  +/-  16326428.522401
-234910.032715  +/-  20884199.652735
-115248.743896  +/-  24177846.589993
-58083.264893  +/-  13910785.252157
-283014.664551  +/-  24828933.657839
165849.120117  +/-  15738012.353142
290810.535645  +/-  16134146.716591
25247.858643  +/-  10998988.503284
-234372.609131  +/-  12237267.572899
-262093.715576  +/-  11225264.546905
-103965.579224  +/-  8709290.35957
69193.846191  +/-  10399448.227484
123058.29187  +/-  10410128.854046
37270.266968  +/-  8742019.891238
-90673.594971  +/-  11210061.961814
-112192.595581  +/-  12252435.719865
11266.093811  +/-  11041131.640767
97133.425781  +/-  16114220.621095
-1651.187012  +/-  15815806.053498
57456.596191  +/-  24824080.652413
-197858.802734  +/-  13937765.896853
20497.470703  +/-  24135384.435973
3808.933105  +/-  20918775.654782
-147775.770996  +/-  16368250.058531
60623.898193  +/-  7117911.105811
463743.021484  +/-  22181608.349176
474255.90625  +/-  25769350.397811
-341384.645752  +/-  24429221.521619
-399534.947754  +/-  20928195.309623
53432.640137  +/-  16617504.786076
-120398.14209  +/-  26291364.173014
544207.751953  +/-  24149365.575812
903458.237793  +/-  22412689.208694
748769.870117  +/-  18603015.759768
440486.473633  +/-  17077609.832154
239832.449219  +/-  17744271.862921
174575.704102  +/-  16670132.198494
153668.252441  +/-  16388924.934972
100209.710449  +/-  17582522.508794
-6860.68457  +/-  16379754.326214
-133899.088379  +/-  16712988.371587
-195111.121094  +/-  17690279.244764
-116155.751953  +/-  17072470.249741
67272.093262  +/-  18504346.754755
155504.158691  +/-  22456544.115554
64904.876465  +/-  24198934.928336
199487.900513  +/-  26331814.758559
30635.180176  +/-  16606695.829869
133611.15332  +/-  20953658.123219
-6154.120117  +/-  24499707.664496
-275823.887695  +/-  25772564.578096
118508.63623  +/-  22180581.612289
517438.081055  +/-  20595387.266435
270881.548828  +/-  17750599.480881
-181751.061035  +/-  17145982.397783
-452716.116699  +/-  23989406.953569
285845.848389  +/-  25230965.63723
-126952.04834  +/-  22670843.263492
451417.987305  +/-  26676073.776942
889984.106934  +/-  20539742.247634
855762.310059  +/-  22904796.701688
649202.854492  +/-  21215383.213335
493110.708984  +/-  21177128.391936
401063.484375  +/-  20107416.708986
302130.088867  +/-  18105379.406104
160423.006836  +/-  22293662.177701
-235.494141  +/-  22254344.602192
-130506.754395  +/-  18160243.728876
-192047.536133  +/-  20143735.502074
-154925.416992  +/-  21244651.990624
-18173.637695  +/-  21157942.495981
133003.860352  +/-  22876662.490837
132227.096191  +/-  20508727.192212
6303.808594  +/-  26601132.372182
236208.334961  +/-  22660831.69156
185999.054688  +/-  25268972.859861
143977.930664  +/-  24042220.511067
-15431.340332  +/-  17229623.76936
-196325.771973  +/-  17730959.473553
90358.702637  +/-  20718728.64164
-454732.164062  +/-  22408251.967543
-537300.267578  +/-  28308907.97775
453554.256836  +/-  35767163.398585
8203.755859  +/-  50773071.118834
775457.956543  +/-  47093711.062848
-427534.114502  +/-  23141846.883055
-542083.543457  +/-  30839909.60983
-494739.126953  +/-  26259888.367906
-626140.594727  +/-  33261295.653881
-697367.480957  +/-  23123436.497345
-563596.355957  +/-  23116232.165864
-316476.026611  +/-  29664270.835751
-111794.474609  +/-  23198242.386966
-22958.505371  +/-  21162601.500936
-23325.186035  +/-  25131355.477401
-39439.328613  +/-  21239506.357319
-13622.867188  +/-  23280171.418577
53776.012695  +/-  29638199.525113
129228.28418  +/-  23051123.974841
165526.639404  +/-  23051175.039848
91431.962402  +/-  33315848.853119
-162509.643799  +/-  26282469.05136
-414562.437988  +/-  30818275.777624
-84003.624512  +/-  23141061.488709
42178.518555  +/-  47084596.716488
-101612.126465  +/-  50796210.355431
-35837.766602  +/-  35816314.605885
275949.09668  +/-  28309002.156719
-121262.160889  +/-  22474633.35236

MSE whole data set =  1.613651471379274
R2 whole data set =  0.9692335681289062

Resampling:

Mean MSE on train data =  1.6010259920818624
Mean MSE on test data =  1.9706196420139939

Mean R2 on train data =  0.9694705553884054
Mean R2 on test data =  0.9623011603994935

***********************************************

Terrain cut 5


polynomial = 15 
lambda = 0


Parameters with uncertainties
1.199588  +/-  51.038552
47.1361  +/-  2051.852138
-122.848452  +/-  2050.338616
-2082.260042  +/-  34289.691943
1584.053362  +/-  30296.277797
2083.285362  +/-  34242.614308
23443.908463  +/-  279672.696737
-4550.691681  +/-  253243.783278
-16855.742352  +/-  253070.381095
-15521.088776  +/-  279155.160629
-120590.018555  +/-  1248172.826933
-21161.099121  +/-  1162103.341183
54232.73172  +/-  1289857.837955
68405.775513  +/-  1159868.651978
60828.337646  +/-  1245342.244337
319464.661621  +/-  3124368.605316
155398.838867  +/-  3131989.983694
-49861.929443  +/-  3856217.551546
-109503.488281  +/-  3853937.131402
-129678.468018  +/-  3119445.959647
-126553.480469  +/-  3115241.728206
-406186.541504  +/-  3953203.728637
-338821.097656  +/-  4885356.263265
-114230.72998  +/-  6478531.925134
-33176.707031  +/-  7187395.372356
-7662.273438  +/-  6479474.066488
64087.639648  +/-  4849702.290249
111020.376953  +/-  3931434.326491
98731.087891  +/-  1239382.064776
229842.749512  +/-  3431751.75466
275504.810547  +/-  5685926.088483
297169.416016  +/-  8437127.100716
373844.6875  +/-  8434030.335982
266545.515625  +/-  5756207.394711
162509.443359  +/-  3387794.464235
39679.537354  +/-  1163334.268603
257362.848633  +/-  2936685.319847
154585.632812  +/-  3467364.822426
-73137.525391  +/-  5802918.374418
-237698.933594  +/-  6311727.570061
-303122.765625  +/-  4974322.701287
-355946.958984  +/-  6323172.293033
-220813.371094  +/-  5802238.928443
-211512.398438  +/-  3475724.903076
-116327.891602  +/-  2932319.01338
-68144.109863  +/-  1207239.90586
-159526.532227  +/-  2667619.319841
-188858.381836  +/-  4220736.131318
-169392.470703  +/-  4954069.165047
-235062.970703  +/-  5486622.800917
-237198.693359  +/-  5411854.092404
-216914.404968  +/-  4738358.919379
-170219.290527  +/-  3780794.618083
-90811.865234  +/-  2608072.885036
-30750.501953  +/-  1076139.647811
-219795.195312  +/-  2841891.171299
-162761.658203  +/-  3908899.293936
7735.810547  +/-  4197621.217284
194471.527344  +/-  2901012.657666
283446.753906  +/-  5443824.043877
335071.703125  +/-  3782381.144142
373155.814453  +/-  5413192.82484
290397.212891  +/-  2801056.21256
213759.616211  +/-  4143654.787479
194851.350586  +/-  3923133.196624
101403.643555  +/-  2879652.126057
-19314.613892  +/-  715816.708566
61966.678223  +/-  1861371.914245
137064.295898  +/-  2863111.043519
170638.817871  +/-  3290181.149376
215856.45166  +/-  4072304.010607
280395.003906  +/-  5796086.563638
288067.376953  +/-  5786108.186521
264194.984131  +/-  4250234.299199
241165.961426  +/-  3400594.173393
171801.637207  +/-  2876953.332508
118202.235352  +/-  1866890.555241
56476.217285  +/-  1014163.489387
191202.320312  +/-  2879136.72603
168314.080078  +/-  4247378.90086
53881.837891  +/-  3044298.278298
-122037.105469  +/-  4015652.308084
-240636.205078  +/-  4160671.093605
-282947.283203  +/-  4994795.053914
-308729.657227  +/-  4588546.149752
-353426.067383  +/-  4959375.887226
-302904.456055  +/-  4173496.120209
-219868.038086  +/-  3976803.628617
-189096.533203  +/-  3013073.796614
-168173.939453  +/-  4264250.515702
-84421.001953  +/-  2825872.196036
84184.104492  +/-  1497765.080757
19475.790039  +/-  2101908.192819
-71175.366211  +/-  2444702.370273
-161102.825195  +/-  3602321.170701
-227294.445312  +/-  3887396.219324
-298030.807129  +/-  4016240.694702
-342199.916992  +/-  5174051.112831
-360617.412109  +/-  5126327.983113
-346436.704102  +/-  4154442.085947
-306738.837158  +/-  4059274.488352
-255319.181641  +/-  3719066.936054
-192986.370605  +/-  2576679.846414
-149360.949219  +/-  2168086.55136
-81269.361328  +/-  1404470.082232
-215699.591797  +/-  3649397.720327
-177774.525391  +/-  5394668.764406
-58489.276367  +/-  3412024.590648
138600.644531  +/-  5684396.346904
322858.719727  +/-  4102440.646122
414383.169922  +/-  5989194.759016
459378.131836  +/-  5788192.585806
492316.003906  +/-  5499458.823579
534012.791016  +/-  5749912.159538
501115.720703  +/-  6056535.724212
405543.193848  +/-  4236954.829978
313635.542969  +/-  5660666.127465
281818.088379  +/-  3452674.826155
230037.087891  +/-  5413480.579566
122361.007812  +/-  3630811.761739
77375.094727  +/-  1392960.471015
73546.865234  +/-  2226434.353653
42264.009766  +/-  2128960.549324
-23344.483398  +/-  3915076.319384
-94220.942383  +/-  4568123.616591
-138336.448242  +/-  4499206.971174
-134992.40332  +/-  2880404.116624
-150612.163086  +/-  2908820.845497
-166579.090088  +/-  2946055.290193
-168106.848633  +/-  2864581.447306
-155287.40332  +/-  4506869.864116
-116602.855957  +/-  4571941.052923
-90675.44043  +/-  3906285.159544
-91113.145508  +/-  2131936.931526
-73337.661133  +/-  2230800.751807
-38887.413574  +/-  1388884.108304

MSE whole data set =  0.8680975756373942
R2 whole data set =  0.9841576414543025

Resampling:

Mean MSE on train data =  0.8383361672659063
Mean MSE on test data =  1.2640587555535279

Mean R2 on train data =  0.9845911829088363
Mean R2 on test data =  0.9746698392338512

***********************************************

Terrain cut 6


polynomial = 27 
lambda = 0


Parameters with uncertainties
179.464864  +/-  3526.394967
610.658127  +/-  147022.711141
-677.264975  +/-  147023.278051
1426.607605  +/-  2507273.007437
5947.466019  +/-  2281563.176596
8636.282227  +/-  2506726.997637
-74201.217773  +/-  20641921.57627
12073.558838  +/-  19226720.092136
-56911.075806  +/-  19238510.526757
-64451.206055  +/-  20631611.212298
396868.902344  +/-  91543493.652819
-240523.794922  +/-  86783547.956276
98532.223633  +/-  98344805.102682
227184.895996  +/-  86879221.516199
210574.117188  +/-  91466923.680651
-726501.234375  +/-  220626282.016366
661880.445312  +/-  220403714.814107
-104217.414062  +/-  273456881.342874
177683.845703  +/-  273730759.490325
-772727.097656  +/-  220789140.616883
-246148.625  +/-  220353464.35486
54421.953125  +/-  247416913.655787
-91834.390625  +/-  293607801.061911
-672001.976562  +/-  406777251.034543
645088.703125  +/-  476806102.558412
-756133.03125  +/-  407798225.832762
1282235.4375  +/-  294457562.836129
-97282.640625  +/-  247039214.819092
869766.222656  +/-  67932470.458266
-1300865.919922  +/-  187880283.540759
1970459.359375  +/-  344175317.848453
-3088669.8125  +/-  400408774.594712
1850652.15625  +/-  400203249.946144
-309104.46875  +/-  345737629.145973
-299152.484375  +/-  188235183.809729
258776.214355  +/-  68002914.127226
190766.8125  +/-  188405230.202326
374089.4375  +/-  202287285.309207
-502624.59375  +/-  263151926.812426
814836.109375  +/-  277409564.633259
450020.4375  +/-  274079795.050627
-663959.625  +/-  278113638.773168
430414.890625  +/-  261088535.339858
-864837.421875  +/-  202130524.492865
190450.015625  +/-  187128001.086757
-705620.152344  +/-  86239353.898875
1016449.757812  +/-  169246327.249492
-782993.1875  +/-  224970639.042437
1011589.359375  +/-  170644048.910512
-8441.234375  +/-  258484118.564298
1093920.15625  +/-  258338467.564873
-1332728.8125  +/-  170244782.915046
473643.179688  +/-  223824515.79825
-42379.902344  +/-  168253787.973667
-118677.972656  +/-  86262229.406895
-767939.238281  +/-  132312104.538569
322699.078125  +/-  171231206.588571
-656838.739258  +/-  178145477.26496
1877736.632812  +/-  212784543.366714
-1604291.703125  +/-  273888550.8389
-889463.671875  +/-  284187606.855571
2500085.4375  +/-  275516641.409363
-1932000.125  +/-  214253188.951384
612768.015625  +/-  176584874.089135
545368.6875  +/-  171286654.619478
-297015.5  +/-  130731566.765237
-122017.34375  +/-  149810156.343985
-335316.953125  +/-  169357963.148638
-660657.976562  +/-  157576626.444123
1116379.804688  +/-  144955727.581024
297031.5  +/-  232883300.79759
-3316286.703125  +/-  283858784.582146
1138340.984375  +/-  284242510.640741
1359264.4375  +/-  233530037.608824
-1406144.324219  +/-  144718190.114547
616036.625  +/-  157311545.330925
349821.664062  +/-  169433777.968654
-170357.648438  +/-  150223646.579375
539643.537109  +/-  66546654.949309
-385605.609375  +/-  155696222.3472
-209238.257812  +/-  172785573.505678
-828558.941406  +/-  148303277.172038
1305736.828125  +/-  215106217.251292
-995608.765625  +/-  216047120.112863
-1220317.132812  +/-  209220511.14788
834344.802734  +/-  214463213.646036
-75464.882812  +/-  213587583.168699
-13213.750488  +/-  147069391.461064
173136.242188  +/-  173782638.800063
-179618.273438  +/-  156300598.041193
96684.597656  +/-  67979498.124717
762075.40625  +/-  108803135.709378
-103966.320312  +/-  146396903.931425
672226.289062  +/-  145428957.736859
-2090335.630859  +/-  185246184.000367
535117.078125  +/-  168366800.450813
808145.923828  +/-  190818011.496149
751543.40625  +/-  188500100.079698
-1090068.632812  +/-  188065642.302125
36989.070312  +/-  190007750.64586
-612926.171875  +/-  168000609.341632
