**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
-0.0  +/-  393460642.021278
-0.0  +/-  392858955.001392
-0.0  +/-  456344462.005175
-0.0  +/-  425585002.888021
0.0  +/-  441785330.708534
0.0  +/-  362352661.010292
0.0  +/-  357188373.075585
0.0  +/-  511517103.068761
-0.0  +/-  592787938.836655
-0.0  +/-  450323744.156456
-0.0  +/-  295004682.951271
-0.0  +/-  417020416.606743
0.0  +/-  493944739.709835
0.010271  +/-  551562790.22508
-0.246528  +/-  494966641.76445
0.240719  +/-  580747244.038909
0.163794  +/-  673562607.562501
0.0  +/-  498325260.444867
-0.0  +/-  627821699.324613
-0.0  +/-  782720409.773333
-0.0  +/-  668593124.916344
-0.121371  +/-  587835496.485754
-0.02072  +/-  546536706.150894
-0.0  +/-  637254777.34739
-0.0  +/-  468678775.555775
-0.0  +/-  504502129.903358
-0.0  +/-  488541437.428866
-0.0  +/-  356389848.216002
-0.0  +/-  488621897.885595
0.0  +/-  504287816.034596
0.0  +/-  469160720.006275
0.0  +/-  637166826.128984
0.0  +/-  546851889.337798
0.0  +/-  587504978.885558
0.0  +/-  667346190.205888
0.0  +/-  781835429.051252
-0.0  +/-  628052233.255466
-0.0  +/-  497999937.475172
-0.0  +/-  672151222.260875
0.0  +/-  580636465.11757
0.008079  +/-  493597603.644355

MSE whole data set =  36.48997425314533
R2 whole data set =  0.3042696475975929

Resampling:

Mean MSE on train data =  36.47292537940303
Mean MSE on test data =  36.86221352386341

Mean R2 on train data =  0.3043605417722098
Mean R2 on test data =  0.29420549846289723

***********************************************

Terrain cut 5


polynomial = 30 
lambda = 0.005179474679231202


Parameters with uncertainties
0.890446  +/-  146431.587881
1.192733  +/-  6422643.464739
0.33457  +/-  6424198.225504
0.702723  +/-  115930790.81504
2.146087  +/-  96029942.230412
-0.517227  +/-  116078359.346882
-0.24199  +/-  988773903.287907
3.468126  +/-  859235223.289692
0.742524  +/-  858743215.641452
-0.849413  +/-  991789712.888642
-1.37569  +/-  4491472763.567906
4.07309  +/-  4346493741.508446
2.053729  +/-  4077652514.417547
0.0  +/-  4344690892.712092
-0.898625  +/-  4518680139.861345
-2.301182  +/-  11234737603.439493
3.829052  +/-  12517587063.795795
2.925402  +/-  11581833741.98524
1.063878  +/-  11551578503.681438
-0.292529  +/-  12531549964.30199
-0.846527  +/-  11361150871.042381
-2.79987  +/-  14435599732.06498
2.888841  +/-  19295189220.758347
3.331624  +/-  17806210835.81058
1.946916  +/-  17722515626.00413
0.346225  +/-  17701572890.340763
-0.523278  +/-  19386973733.702366
-0.636254  +/-  14698728124.587137
-2.798541  +/-  7531796307.39275
1.537669  +/-  11904996711.856308
3.37376  +/-  11720611486.791494
2.545347  +/-  13019290276.163498
1.163183  +/-  12653819112.311255
0.0  +/-  11739768532.054102
-0.786811  +/-  12030459528.811304
-0.415511  +/-  7456855377.012752
-2.458091  +/-  9127260148.4674
0.012925  +/-  9679832685.736235
3.160741  +/-  11542233393.853249
2.902273  +/-  10390166533.02972
1.816655  +/-  10094157929.812708
0.539099  +/-  10348693300.621075
-0.005202  +/-  11478959933.302185
-1.127883  +/-  9623249182.63094
-0.204454  +/-  10192488437.17688
