**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.0011513953993264434


Parameters with uncertainties
-0.0  +/-  5e-06
-0.0  +/-  3e-06
-0.0  +/-  5e-06
0.0  +/-  5e-06
0.010656  +/-  4e-06
-0.213738  +/-  5e-06
0.149169  +/-  5e-06
0.251184  +/-  4e-06
0.0  +/-  3e-06
0.0  +/-  4e-06
-0.0  +/-  6e-06
-0.0  +/-  5e-06
-0.131318  +/-  3e-06
-0.073718  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
0.0  +/-  4e-06
0.0  +/-  4e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  5e-06
0.0  +/-  6e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
0.0  +/-  5e-06
0.008943  +/-  5e-06
-0.165252  +/-  5e-06
0.063106  +/-  5e-06
0.230162  +/-  6e-06
0.0  +/-  5e-06
0.0  +/-  6e-06
-0.0  +/-  7e-06
-0.0  +/-  6e-06
-0.056555  +/-  6e-06
-0.060008  +/-  5e-06
-0.0  +/-  6e-06
-0.0  +/-  4e-06
-0.0  +/-  5e-06
-0.0  +/-  5e-06
-0.0  +/-  3e-06
-0.0  +/-  5e-06
0.0  +/-  5e-06
0.0  +/-  4e-06
0.0  +/-  6e-06
0.0  +/-  5e-06
0.0  +/-  6e-06
0.0  +/-  6e-06
0.0  +/-  7e-06
0.0  +/-  6e-06
-0.0  +/-  5e-06
-0.0  +/-  6e-06
0.0  +/-  5e-06
0.007519  +/-  5e-06

MSE whole data set =  38.289459367158294
R2 whole data set =  0.26996004782013594

Resampling:

Mean MSE on train data =  38.27750522453615
Mean MSE on test data =  38.75111726237611

Mean R2 on train data =  0.26996309905662086
Mean R2 on test data =  0.25761255580880177

***********************************************

Terrain cut 5


polynomial = 30 
lambda = 0.0011513953993264434


Parameters with uncertainties
-6.040565  +/-  0.0
4.470343  +/-  0.0
4.566928  +/-  0.0
1.130505  +/-  0.0
2.730578  +/-  0.0
0.0  +/-  0.0
-0.024605  +/-  0.0
2.834776  +/-  0.0
0.912127  +/-  0.0
-0.029458  +/-  0.0
-0.940345  +/-  2e-06
2.713705  +/-  2e-06
1.879891  +/-  2e-06
0.0  +/-  2e-06
-0.337192  +/-  2e-06
-1.387206  +/-  4e-06
2.339348  +/-  5e-06
2.708128  +/-  5e-06
0.850319  +/-  5e-06
-0.252955  +/-  5e-06
-0.47964  +/-  5e-06
-1.778452  +/-  6e-06
1.501564  +/-  8e-06
3.191258  +/-  7e-06
1.783523  +/-  7e-06
0.06384  +/-  7e-06
-0.593868  +/-  8e-06
-0.361391  +/-  6e-06
-1.816106  +/-  3e-06
0.406789  +/-  5e-06
3.395933  +/-  5e-06
2.511545  +/-  5e-06
0.985862  +/-  5e-06
-0.0  +/-  5e-06
-1.202812  +/-  5e-06
-0.195795  +/-  3e-06
-1.717785  +/-  4e-06
-0.265251  +/-  4e-06
2.632075  +/-  5e-06
3.047004  +/-  4e-06
1.805025  +/-  4e-06
0.36336  +/-  4e-06
-0.167066  +/-  5e-06
-1.441194  +/-  4e-06
-0.040651  +/-  4e-06
-1.50669  +/-  2e-06
-1.594713  +/-  3e-06
2.349304  +/-  3e-06
3.338922  +/-  5e-06
2.420182  +/-  5e-06
1.153929  +/-  5e-06
0.0  +/-  5e-06
-0.537977  +/-  3e-06
-1.46619  +/-  3e-06
-0.0  +/-  3e-06
-1.090226  +/-  4e-06
-2.877435  +/-  4e-06
1.928972  +/-  4e-06
3.456188  +/-  4e-06
2.865401  +/-  4e-06
1.817638  +/-  4e-06
0.630381  +/-  4e-06
-0.0  +/-  4e-06
-0.983537  +/-  4e-06
-1.400196  +/-  4e-06
0.0  +/-  4e-06
-0.6476  +/-  2e-06
-4.095409  +/-  2e-06
1.379397  +/-  2e-06
3.401316  +/-  3e-06
3.133461  +/-  3e-06
2.320054  +/-  4e-06
1.293098  +/-  4e-06
0.222477  +/-  3e-06
-0.0  +/-  3e-06
-1.226305  +/-  2e-06
-1.271615  +/-  2e-06
0.0  +/-  2e-06
-0.143246  +/-  3e-06
-5.195078  +/-  3e-06
0.727112  +/-  3e-06
3.18749  +/-  3e-06
3.227358  +/-  4e-06
2.6491  +/-  4e-06
1.801466  +/-  3e-06
0.850459  +/-  5e-06
0.0  +/-  3e-06
-0.028509  +/-  3e-06
-1.381118  +/-  3e-06
-1.105777  +/-  3e-06
0.08742  +/-  3e-06
